County,ZEROBR,ONEBR,TWOBR,THREEBR,FOURBR,AVG
Alameda County,1595,1934,2383,3196,3863,2594.2
Alpine County,723,819,1068,1528,1695,1166.6
Amador County,880,886,1149,1644,1980,1307.8
Butte County,825,904,1192,1692,2064,1335.4
Calaveras County,718,837,1061,1518,1837,1194.2
Colusa County,654,733,966,1382,1673,1081.6
Contra Costa County,1595,1934,2383,3196,3863,2594.2
Del Norte County,677,827,1000,13887,1702,3618.6
El Dorado County,1060,1188,1495,2140,2588,1694.2
Fresno County,795,851,1064,1509,1747,1193.2
Glenn County,627,703,926,1152,1256,932.8
Humboldt County,741,863,1113,1593,1901,1242.2
Imperial County,708,810,1060,1444,1793,1163
Inyo County,811,851,1017,1374,1379,1086.4
Kern County,734,743,970,1388,1679,1102.8
Kings County,894,903,1109,1587,1708,1240.2
Lake County,707,813,1072,1534,1603,1145.8
Lassen County,663,709,935,1338,1439,1016.8
Los Angeles County,1369,1605,2058,2735,2982,2149.8
Madera County,875,881,1151,1647,1802,1271.2
Marin County,2350,2923,3553,4567,4970,3672.6
Mariposa County,746,836,1102,1402,1908,1198.8
Mendocino County,908,941,1240,1740,2103,1386.4
Merced County,724,882,1067,1527,1847,1209.4
Modoc County,546,612,807,1090,1281,867.2
Mono County,546,612,807,1090,1281,867.2
Monterey County,1348,1466,1793,2566,2813,1997.2
Napa County,1331,1531,2018,2826,2836,2108.4
Nevada County,884,1013,1335,1911,2052,1439
Orange County,1678,1888,2331,3227,3716,2568
Placer County,1060,1118,1495,2140,2588,1680.2
Plumas County,618,722,937,1318,1569,1032.8
Riverside County,955,1106,1390,1917,2369,1547.4
Sacramento County,1060,1188,1495,2140,2588,1694.2
San Benito County,1200,1270,1674,2396,2898,1887.6
San Bernardino County,955,1106,1390,1917,2369,1547.4
San Diego County,1478,1642,2124,2987,3677,2381.6
San Francisco County,2350,2923,3553,4567,4970,3672.6
San Joaquin County,845,964,1270,1818,2199,1419.2
San Luis Obispo County,1166,1263,1665,2383,2877,1870.8
San Mateo County,2350,2923,3553,4567,4970,3672.6
Santa Barbara County,1728,2015,2374,3137,3589,2568.6
Santa Clara County,2228,2558,3051,3984,4593,3282.8
Santa Cruz County,1993,2292,3021,3947,4419,3134.4
Shasta County,804,924,1218,1743,2109,1359.6
Sierra County,837,949,1237,1770,1963,1351.2
Siskiyou County,661,694,914,1308,1381,991.6
Solano County,1190,1351,1617,2314,2800,1854.4
Sonoma County,1340,1519,1996,2825,3254,2186.8
Stanislaus County,890,987,1224,1733,2033,1373.4
Sutter County,875,881,1122,1606,1943,1285.4
Tehama County,692,722,952,1261,1458,1017
Trinity County,587,680,868,1242,1377,950.8
Tulare County,723,728,959,1337,1561,1061.6
Tuolumne County,726,845,1101,1551,1906,1225.8
Ventura County,1269,1519,1923,2690,3189,2118
Yolo County,1085,1147,1511,2162,2584,1697.8
Yuba County,876,881,1122,1606,1943,1285.6
